Date,AAPL,MSFT,GOOGL,AMZN,TSLA
2025-10-09,253.79396057128906,521.4241333007812,241.3721160888672,227.74000549316406,435.5400085449219
2025-10-10,245.032470703125,510.0054626464844,236.4153594970703,216.3699951171875,413.489990234375
2025-10-13,247.42015075683594,513.0896606445312,243.9904022216797,220.07000732421875,435.8999938964844
2025-10-14,247.53004455566406,512.610595703125,245.28955078125,216.38999938964844,429.239990234375
2025-10-15,249.09852600097656,512.4708251953125,250.86590576171875,215.57000732421875,435.1499938964844
2025-10-16,247.21035766601562,510.65423583984375,251.29562377929688,214.47000122070312,428.75
2025-10-17,252.045654296875,512.62060546875,253.13442993164062,213.0399932861328,439.30999755859375
2025-10-20,261.98602294921875,515.8245239257812,256.3822937011719,216.47999572753906,447.42999267578125
2025-10-21,262.5155029296875,516.6929321289062,250.29627990722656,222.02999877929688,442.6000061035156
2025-10-22,258.19970703125,519.5675659179688,251.52548217773438,217.9499969482422,438.9700012207031
2025-10-23,259.3285827636719,519.5875244140625,252.91456604003906,221.08999633789062,448.9800109863281
2025-10-24,262.56549072265625,522.6318359375,259.7501220703125,224.2100067138672,433.7200012207031
2025-10-27,268.5496520996094,530.527099609375,269.0939636230469,226.97000122070312,452.4200134277344
2025-10-28,268.7394714355469,541.057373046875,267.295166015625,229.25,460.54998779296875
2025-10-29,269.4388122558594,540.538330078125,274.3905334472656,230.3000030517578,461.510009765625
2025-10-30,271.13714599609375,524.77783203125,281.2960205078125,222.86000061035156,440.1000061035156
2025-10-31,270.108154296875,516.8426513671875,281.0061950683594,244.22000122070312,456.55999755859375
2025-11-03,268.7894287109375,516.0641479492188,283.5345458984375,254.0,468.3699951171875
2025-11-04,269.7784729003906,513.3692016601562,277.35858154296875,249.32000732421875,444.260009765625
2025-11-05,269.8783874511719,506.2125549316406,284.1241455078125,250.1999969482422,462.07000732421875
2025-11-06,269.50872802734375,496.1713562011719,284.5638732910156,243.0399932861328,445.9100036621094
2025-11-07,268.2099914550781,495.8918762207031,278.647705078125,244.41000366210938,429.5199890136719
2025-11-10,269.42999267578125,505.0547180175781,289.9103698730469,248.39999389648438,445.2300109863281
2025-11-11,275.25,507.7297058105469,291.11956787109375,249.10000610351562,439.6199951171875
2025-11-12,273.4700012207031,510.1851501464844,286.5225830078125,244.1999969482422,430.6000061035156
2025-11-13,272.95001220703125,502.34979248046875,278.3879089355469,237.5800018310547,401.989990234375
2025-11-14,272.4100036621094,509.2268981933594,276.22930908203125,234.69000244140625,404.3500061035156
2025-11-17,267.4599914550781,506.54193115234375,284.83367919921875,232.8699951171875,408.9200134277344
2025-11-18,267.44000244140625,492.8675537109375,284.09417724609375,222.5500030517578,401.25
2025-11-19,268.55999755859375,486.2099914550781,292.61859130859375,222.69000244140625,403.989990234375
2025-11-20,266.25,478.42999267578125,289.26080322265625,217.13999938964844,395.2300109863281
2025-11-21,271.489990234375,472.1199951171875,299.464111328125,220.69000244140625,391.0899963378906
2025-11-24,275.9200134277344,474.0,318.3717346191406,226.27999877929688,417.7799987792969
2025-11-25,276.9700012207031,476.989990234375,323.22857666015625,229.6699981689453,419.3999938964844
2025-11-26,277.54998779296875,485.5,319.7408752441406,229.16000366210938,426.5799865722656
2025-11-28,278.8500061035156,492.010009765625,319.970703125,233.22000122070312,430.1700134277344
2025-12-01,283.1000061035156,486.739990234375,314.6841735839844,233.8800048828125,430.1400146484375
2025-12-02,286.19000244140625,490.0,315.6035461425781,234.4199981689453,429.239990234375
2025-12-03,284.1499938964844,477.7300109863281,319.42108154296875,232.3800048828125,446.739990234375
2025-12-04,280.70001220703125,480.8399963378906,317.4123840332031,229.11000061035156,454.5299987792969
2025-12-05,278.7799987792969,483.1600036621094,321.0599670410156,229.52999877929688,455.0
2025-12-08,277.8900146484375,491.0199890136719,313.7200012207031,226.88999938964844,439.5799865722656
2025-12-09,277.17999267578125,492.0199890136719,317.0799865722656,227.9199981689453,445.1700134277344
2025-12-10,278.7799987792969,478.55999755859375,320.2099914550781,231.77999877929688,451.45001220703125
2025-12-11,278.0299987792969,483.4700012207031,312.42999267578125,230.27999877929688,446.8900146484375
2025-12-12,278.2799987792969,478.5299987792969,309.2900085449219,226.19000244140625,458.9599914550781
2025-12-15,274.1099853515625,474.82000732421875,308.2200012207031,222.5399932861328,475.30999755859375
2025-12-16,274.6099853515625,476.3900146484375,306.57000732421875,222.55999755859375,489.8800048828125
2025-12-17,271.8399963378906,476.1199951171875,296.7200012207031,221.27000427246094,467.260009765625
2025-12-18,272.19000244140625,483.9800109863281,302.4599914550781,226.75999450683594,483.3699951171875
2025-12-19,273.6700134277344,485.9200134277344,307.1600036621094,227.35000610351562,481.20001220703125
2025-12-22,270.9700012207031,484.9200134277344,309.7799987792969,228.42999267578125,488.7300109863281
2025-12-23,272.3599853515625,486.8500061035156,314.3500061035156,232.13999938964844,485.55999755859375
2025-12-24,273.80999755859375,488.0199890136719,314.0899963378906,232.3800048828125,485.3999938964844
2025-12-26,273.3999938964844,487.7099914550781,313.510009765625,232.52000427246094,475.19000244140625
2025-12-29,273.760009765625,487.1000061035156,313.55999755859375,232.07000732421875,459.6400146484375
2025-12-30,273.0799865722656,487.4800109863281,313.8500061035156,232.52999877929688,454.42999267578125
